#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 agle_v2_10m.bin|  8.82e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
    rgb_permutations|   5|    100000|     100|0.16323880|  PASSED  
# The file file_input_raw was rewound 498 times
      rgb_lagged_sum|   0|   1000000|     100|0.17030153|  PASSED  
# The file file_input_raw was rewound 517 times
      rgb_lagged_sum|   1|   1000000|     100|0.10144701|  PASSED  
# The file file_input_raw was rewound 546 times
      rgb_lagged_sum|   2|   1000000|     100|0.52853960|  PASSED  
# The file file_input_raw was rewound 584 times
      rgb_lagged_sum|   3|   1000000|     100|0.00000109|   WEAK   
# The file file_input_raw was rewound 632 times
      rgb_lagged_sum|   4|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 689 times
      rgb_lagged_sum|   5|   1000000|     100|0.06535630|  PASSED  
# The file file_input_raw was rewound 756 times
      rgb_lagged_sum|   6|   1000000|     100|0.13112295|  PASSED  
# The file file_input_raw was rewound 832 times
      rgb_lagged_sum|   7|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 918 times
      rgb_lagged_sum|   8|   1000000|     100|0.22601112|  PASSED  
# The file file_input_raw was rewound 1013 times
      rgb_lagged_sum|   9|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 1118 times
      rgb_lagged_sum|  10|   1000000|     100|0.85772389|  PASSED  
# The file file_input_raw was rewound 1232 times
      rgb_lagged_sum|  11|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 1356 times
      rgb_lagged_sum|  12|   1000000|     100|0.17016576|  PASSED  
# The file file_input_raw was rewound 1490 times
      rgb_lagged_sum|  13|   1000000|     100|0.33086462|  PASSED  
# The file file_input_raw was rewound 1633 times
      rgb_lagged_sum|  14|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 1786 times
      rgb_lagged_sum|  15|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 1948 times
      rgb_lagged_sum|  16|   1000000|     100|0.20089779|  PASSED  
# The file file_input_raw was rewound 2119 times
      rgb_lagged_sum|  17|   1000000|     100|0.03064673|  PASSED  
# The file file_input_raw was rewound 2301 times
      rgb_lagged_sum|  18|   1000000|     100|0.10300442|  PASSED  
# The file file_input_raw was rewound 2491 times
      rgb_lagged_sum|  19|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 2692 times
      rgb_lagged_sum|  20|   1000000|     100|0.47876048|  PASSED  
# The file file_input_raw was rewound 2901 times
      rgb_lagged_sum|  21|   1000000|     100|0.95607533|  PASSED  
# The file file_input_raw was rewound 3121 times
      rgb_lagged_sum|  22|   1000000|     100|0.07663375|  PASSED  
# The file file_input_raw was rewound 3350 times
      rgb_lagged_sum|  23|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 3588 times
      rgb_lagged_sum|  24|   1000000|     100|0.00000013|  FAILED  
# The file file_input_raw was rewound 3836 times
      rgb_lagged_sum|  25|   1000000|     100|0.01210323|  PASSED  
# The file file_input_raw was rewound 4093 times
      rgb_lagged_sum|  26|   1000000|     100|0.10423144|  PASSED  
# The file file_input_raw was rewound 4360 times
      rgb_lagged_sum|  27|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 4637 times
      rgb_lagged_sum|  28|   1000000|     100|0.41415298|  PASSED  
# The file file_input_raw was rewound 4923 times
      rgb_lagged_sum|  29|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 5219 times
      rgb_lagged_sum|  30|   1000000|     100|0.09673739|  PASSED  
# The file file_input_raw was rewound 5524 times
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 5839 times
      rgb_lagged_sum|  32|   1000000|     100|0.01416478|  PASSED  
# The file file_input_raw was rewound 5840 times
     rgb_kstest_test|   0|     10000|    1000|0.05046450|  PASSED  
# The file file_input_raw was rewound 5854 times
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
# The file file_input_raw was rewound 5856 times
             dab_dct| 256|     50000|       1|0.34148442|  PASSED  
# The file file_input_raw was rewound 5866 times
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00091350|   WEAK   
        dab_filltree|  32|  15000000|       1|0.02043687|  PASSED  
# The file file_input_raw was rewound 5869 times
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.00000000|  FAILED  
       dab_filltree2|   1|   5000000|       1|0.00000000|  FAILED  
# The file file_input_raw was rewound 5875 times
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
