#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                   rctm61.81.bin|  3.65e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.14884571|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.79609793|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.19801859|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.61451674|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.44334267|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.52631525|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.83957878|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.59203073|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.36670372|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.53897972|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.82941364|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.89481446|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.65928106|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.10590117|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.66319382|  PASSED  
             dab_dct| 256|     50000|       1|0.20053671|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.25137747|  PASSED  
        dab_filltree|  32|  15000000|       1|0.19026546|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.06762202|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.88860641|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.68809554|  PASSED  
